title	full_name	birthplace	career_start	career_end	draft	draft_year	draft_team	current_league	national_team	current_team	nationality	date_of_birth	sex
Herbert Plaxton	Herbert Alfred Wellington &quot;Bert&quot; Plaxton												
Hugh Plaxton	Hugh John Plaxton	Barrie, Canada											
Roger Plaxton	Hayward Alan Roger &quot;Rod&quot; Plaxton												
John Porter (ice hockey)	John Chester &quot;Red&quot; Porter	Toronto, Canada											
Frank Sullivan (ice hockey, born 1898)	Francis Gerald Sullivan	Toronto, Canada								Toronto Varsity Blues men's ice hockey			
Ross Taylor (ice hockey)	Ross Croft Taylor												
Emil Bergman	Emil &quot;Nacka&quot; Bergman	, Gävle Municipality	1926	1934					SWE				
Birger Holmqvist	Birger Ivar &quot;Bigge&quot; Holmqvist	Stockholm, Sweden											
Henry Johansson	Henry Johan Johansson	Södertälje, Sweden	1924	1932					SWE				
Darren Banks	Darren Alexander Banks	Toronto, Canada	1989	2005	''Undrafted''						Canadian		
Vítězslav Ďuriš	Vítězslav &quot;Slava&quot; Ďuriš	Karviná, Czechoslovakia	1977	1991	''Undrafted''				Czechoslovakia		Czech		
Derek Laxdal	Derek Laxdal	, Manitoba	1984	2001	151st overall	1984	Toronto Maple Leafs				Canadian		
Mike Weber	Michael Weber	Pittsburgh, U.S.	2007	2017	57th overall	2006	Buffalo Sabres						
Niko Huuhtanen	Niko Huuhtanen	Helsinki, Finland	2022		224th overall	2021	Tampa Bay Lightning	National Hockey League	&lt;!--Senior IIHF only--&gt;	Tampa Bay Lightning	Finnish		
Matt Rempe	Matthew Rempe	Calgary, Canada	2022		165th overall	2020	New York Rangers	National Hockey League		New York Rangers	Canadian		
Mike Pudlick	Michael Pudlick	, Minnesota	1998	2008			}}				American		
Justin Harney	Justin Harney	, Massachusetts	1996	2007			}}				American		
Greg Gardner	Gregory Gardner	Mississauga, Canada	2000	2006							Canadian		
Chase Pearson	Chase Pearson	Cornwall, Ontario, Ontario	2019		140th overall	2015	Detroit Red Wings	EIHL		Nottingham Panthers	Canadian		
Jeff Dessner	Jeffrey Dessner	, Illinois	1996	2004	185th overall	1996	New York Rangers				American		
Scott Reedy	Scott Reedy	Prior Lake, Minnesota, U.S.	2021		102nd overall	2017	San Jose Sharks	&lt;!--American Hockey League		Free agent	American		
Kristine Melberg Hansen	Kristine Melberg Hansen	Copenhagen, Denmark	2014					Damettan	DEN	Malmö Redhawks Dam	Danish		f
Sean Durzi	Sean Durzi	Mississauga, Canada	2019		52nd overall	2018	Toronto Maple Leafs	National Hockey League		Utah Mammoth	Canadian		
Simon Holmström	Simon Holmström	Tranås, Sweden	2017		23rd overall	2019	New York Islanders	National Hockey League		New York Islanders	Swedish		
Nils Höglander	Nils Höglander	, Sweden	2016		40th overall	2019	Vancouver Canucks	National Hockey League		Vancouver Canucks	Swedish		
Zdzisław Nowak (ice hockey)	Zdzisław Ignacy Nowak	, Krynica-Zdrój	1947	1960					POL				
Jim Cross (ice hockey coach)	James M. Cross	Weymouth, Massachusetts, U.S.											
Peter Stoykewych	Peter Justin Stoykewych	Winnipeg, Canada	2014	2020	199th overall	2010	Atlanta Thrashers				Canadian		
Mariia Posa	Mariia Posa	Helsinki, Finland	2002	2015					FIN				f
Sara Bauer	Sara Bauer	St. Catharines, Canada	2003	2007							Canadian		
Jody Lehman	Jody Lehman	North Battleford, Saskatchewan	1997	2012					Great Britain				
Doug Ross (ice hockey)	Douglas George Ross	Dearborn, Michigan, U.S.											
Konstantin Gorovikov	Konstantin Vladimirovich Gorovikov	Novosibirsk, Soviet Union	1994		269th overall	1999	Ottawa Senators	Kontinental Hockey League	Russia	Free Agent	Russian		
Greg Poss	Greg Poss	, Wisconsin	1989	1992									
Sanni Rantala	Sanni Rantala	Riihimäki, Finland	2017					Swedish Women's Hockey League	FIN	Frölunda HC (women)	Finnish		f
Ida Karjalainen	Ida Karjalainen	Oulu, Finland	2013	2021					FIN		Finnish		f
Julia Liikala	Julia Liikala	Peräseinäjoki, Finland	2016					Women's League (Switzerland)	FIN	HC Ambrì-Piotta Girls	Finnish		f
Kiira Yrjänen	Kiira Yrjänen	Riihimäki, Finland	2016					Swedish Women's Hockey League	FIN	Leksands IF (women)	Finnish		f
Sini Karjalainen	Sini Karjalainen	Posio, Finland	2013					Swedish Women's Hockey League	FIN	Skellefteå AIK (women)	Finnish		f
Bep Guidolin	Armand &quot;Bep&quot; Guidolin	Thorold, Canada	1942	1952				National Hockey League					
Vic Heyliger	1948 [[National Collegiate Athletic Association|NCAA]] National Championship	Concord, Massachusetts, U.S.											
Ed Staniowski	Edward Emile Staniowski	, Moose Jaw	1975	1985	27th overall	1975	St. Louis Blues				Canadian		
Jim Corsi (ice hockey)	James Corsi	Montreal, Canada	1976	1992	Undrafted				Italy		Canadian		
Jeff Hamilton (ice hockey)	Jeffrey Hamilton	Englewood, Ohio, U.S.	2001	2011	Undrafted				USA		American		
Dean Kennedy	Edward Dean Kennedy	Redvers, Saskatchewan, Canada	1982	1995	39th overall	1981	Los Angeles Kings		CAN		Canadian		
Keith Gretzky	Keith Edward Gretzky	Brantford, Ontario, Canada	1987	1993	56th overall	1985	Buffalo Sabres				Canadian		
Josh Langfeld	Joshua Adam Langfeld	, Minnesota	2001	2011	66th overall	1997	Ottawa Senators				American		
Siim Liivik	Siim Liivik	Paide, Soviet Union	2008		Undrafted				FIN	Free Agent	Estonian-Finnish		
Jan Plodek	Jan Plodek	Liberec, Czechoslovakia	1997	2017				Czech Extraliga			Czech		
Tyson Strachan	Tyson Strachan	, Saskatchewan	2007	2018	137th overall	2003	Carolina Hurricanes				Canadian		
Carlo Cattarello	Carlo Cattarello Sr.												
Stanislav Procházka	Standa Procházka	Pardubice, Czechoslovakia	1991	2015				Czech Extraliga			Czech		
Marek Černošek	Marek Černošek	Prostějov, Czechoslovakia	1993	2014					CZE		Czech		
Pavel Kašpařík	Pavel Kašpařík	Písek, Czechoslovakia	1997	2016	200th overall	1999	Philadelphia Flyers		Czech Republic				
Ilari Melart	Ilari Melart	Helsinki, Finland	2008		Undrafted			Liiga	FIN	HIFK (ice hockey)	Finnish		
Adélard Lafrance	Adélard Henry &quot;Adie, Del&quot; Lafrance	Chapleau, Ontario, Canada	1931	1939									
Teemu Pulkkinen	Teemu Pulkkinen	Vantaa, Finland	2009		111th overall	2010	Detroit Red Wings	DEL2	FIN	Starbulls Rosenheim	Finnish		
Randy Exelby	Randy Alan Exelby	Toronto, Canada	1987	1991	[[1986 NHL Supplemental Draft]]		Montreal Canadiens				Canadian		
Dov Grumet-Morris	Dov Grumet-Morris	Evanston, Illinois, U.S.	2005	2014	161st overall	2002	Philadelphia Flyers				American		
Ron Meighan	Ron James Meighan	Montreal, Canada	1981	1984	13th overall	1981	Minnesota North Stars				Canadian		
Brian Elliott	Brian Elliott	Newmarket, Ontario, Canada	2006	2023	291st overall	2003	Ottawa Senators	National Hockey League			Canadian		
Martin Vagner	Martin Vagner	Jaroměř, Czechoslovakia	2005		26th overall, [[2002 NHL Entry Draft	2004	Carolina Hurricanes	1. národní hokejová liga		HC Hradec Králové	Czech		
Zack Mitchell	Zachery	Orangeville, Ontario, Canada	2014		Undrafted					Free agent	Canadian		
Jake Guentzel	Jake Allen Guentzel	Omaha, Nebraska, U.S.	2016		77th overall	2013	Pittsburgh Penguins	National Hockey League	United States	Tampa Bay Lightning	American		
Tommi Kivistö	Tommi Kivistö	Vantaa, Finland	2009		208th overall	2009	Carolina Hurricanes	Kontinental Hockey League	FIN	Jokerit	Finnish		
Tomi Pallassalo	Tomi Pallassalo	, Finland	2009					SM-liiga		Jokerit			
Marko Kauppinen	Marko Kauppinen	Mikkeli, Finland	1997	2017	214th overall	1997	Philadelphia Flyers				Finnish		
Mikko Kalteva	Mikko Kalteva	Hyvinkää, Finland	2004	2021	107th overall	2002	Colorado Avalanche				Finnish		
Teemu Eronen	Teemu Eronen	Vantaa, Finland	2009		192nd overall	2011	St. Louis Blues	&lt;!--Liiga--&gt;		JYP Jyväskylä	Finnish		
Simo Mälkiä	Simo Mälkiä	Lappeenranta, Finland	2000	2012							Finnish		
Ossi Saarinen	Ossi Saarinen	, Finland	2006	2020				Metal Ligaen		IC Gentofte	Finnish		
Ryan Gardner	Ryan Gardner	Akron, Ohio, United States&lt;ref&gt;{{cite web	1998	2018	Undrafted				SUI		Canadian		
Knut Henrik Spets	Knut Henrik Spets	Trondheim, Norway	2000					GET-ligaen	Norway	Free agent	Norwegian		
Phil Osaer	Phil Osaer	, Michigan	2001	2013	203rd overall	1999	St. Louis Blues				American		
Vladimír Országh	[[National Hockey League|NHL]]	Banská Bystrica, Czechoslovakia	1996	2007	106th overall	1995	New York Islanders		SVK		Slovak		
Rick Pagnutti	Rick Pagnutti	, Greater Sudbury	1967	1977	1st overall	1967	Los Angeles Kings				Canadian		
Teemu Laakso	Teemu Laakso	Tuusula, Finland	2004	2018	78th Overall	2005	Nashville Predators		FIN		Finnish		
Melville Vail	Melville Arthur &quot;Sparky&quot; Vail	, Ontario	1926	1943									
Sergei Kostitsyn	Sergei Olegovich Kostitsyn	Novopolotsk, Byelorussian Soviet Socialist Republic	2007		200th overall	2005	Montreal Canadiens	Belarusian Extraleague	BLR	Metallurg Zhlobin	Belarusian		
Barry Beck	Barry David Beck	Vancouver, Canada	1977	1990	2nd overall	1977	Colorado Rockies (NHL)	National Hockey League	CAN		Canadian		
Doug Smith (ice hockey)	Douglas Eric Smith	Ottawa, Canada	1981	1992	2nd overall	1981	Los Angeles Kings				Canadian		
Shjon Podein	Shjon Walter Podein	Rochester, Minnesota, U.S.	1990	2006	166th overall	1988	Edmonton Oilers		USA		American		
Ron Smith (ice hockey, born 1952)	Ronald Robert Smith	Port Hope, Ontario, Canada	1969	1977	49th overall	1972	New York Islanders				Canadian		
Gene Ubriaco	Eugene Stephen Ubriaco	, Ontario	1958	1970							Canadian		
Lukáš Krajíček	Lukáš Krajíček	Prostějov, Czechoslovakia	2002	2020	24th overall	2001	Florida Panthers		Czech Republic		Czech		
Daniel Ljungman	Daniel Ljungman	Uppsala, Sweden	2020		154th overall	2020	Dallas Stars	HockeyAllsvenskan		AIK IF	Swedish		
Leo Lööf	Leo Lööf	Karlstad, Sweden	2020		88th overall	2020	St. Louis Blues	National Hockey League		St. Louis Blues	Swedish		
Akira Schmid	Akira Schmid	Bern, Switzerland	2018		136th overall	2018	New Jersey Devils	National Hockey League	Switzerland	Vegas Golden Knights	Swiss		
Elliot Ekmark	Elliot Ekmark	Linköping, Sweden	2020		198th overall	2020	Florida Panthers	HockeyAllsvenskan		Kalmar HC	Swedish		
Oliver Kapanen	Oliver Kapanen	Timrå, Sweden	2021		64th overall	2021	Montreal Canadiens	National Hockey League	FIN	Montreal Canadiens	Finnish		
Bill Riley Jr.	&lt;br&gt;1981 ECAC East Champion&lt;br&gt;1981 ECAC East Tournament Champion&lt;br&gt;	, Massachusetts									American		
Alexandre Fortin	Alexandre Fortin	, Quebec	2017		Undrafted			ECHL		Orlando Solar Bears	Canadian		
Bruce Delventhal	Bruce Delventhal	Englewood, New Jersey, U.S.									American		
Jacob Melanson	Jacob Melanson	Amherst, Nova Scotia, Canada	2023		131st overall	2021	Seattle Kraken	National Hockey League		Seattle Kraken	Canadian		
Semyon Vyazovoy	Semyon Vyazovoy	Ufa, Russia			163rd overall	2021	Seattle Kraken	Kontinental Hockey League		Salavat Yulaev Ufa	Russian		
Justin Janicke	Justin Scott Janicke	Maple Grove, Minnesota, U.S.	2025		195th overall	2021	Seattle Kraken	American Hockey League		Coachella Valley Firebirds	American		
Aleš Stezka	Aleš Stezka	Plzeň, Czech Republic	2017		111th overall	2015	Minnesota Wild	Czech Extraliga		HC Kometa Brno	Czech		
Abigail Boreen	Abigail Boreen	Saint Paul, Minnesota, U.S.						Professional Women's Hockey League		PWHL Vancouver	American		f
Jett Woo	Jett Woo	Winnipeg, Canada	2021		37th overall	2018	Vancouver Canucks	National Hockey League		Vancouver Canucks	Canadian		
Liam Kirk (ice hockey)	Liam Kirk	, South Yorkshire	2016		189th overall	2018	Arizona Coyotes	Deutsche Eishockey Liga	GBR	Eisbären Berlin	British		
Radomír Heizer	Radomír Heizer	Gelnica, Slovakia	2005					Ligue Magnus	SVK	Nice hockey Côte d'Azur	Slovak		
Guo Wei (ice hockey)	Guo Wei	, China							CHN		Chinese		f
Nathalie Déry	Nathalie Déry	Cap-Santé, Canada	1998	2012							Canadian		f
Albin Eriksson	Albin Eriksson	Bollnäs, Sweden	2018		44th overall	2018	Dallas Stars	HockeyAllsvenskan		Almtuna IS	Swedish		
Alex Lintuniemi	Alex Lintuniemi	Helsinki, Finland	2013		60th overall	2014	Los Angeles Kings	Czech Extraliga		BK Mladá Boleslav	Finnish		
Elias Lindholm	Elias Viktor Zebulon Lindholm	, Sweden	2011		5th overall	2013	Carolina Hurricanes	National Hockey League	SWE	Boston Bruins			
Kirill Kapustin	Kirill Kapustin	Yaroslavl, Russia	2013					Kontinental Hockey League		HC Neftekhimik Nizhnekamsk	Russian		
Pavel Kraskovsky	Pavel Dmitrievich Kraskovsky	Yaroslavl, Russia	2013		164th overall	2014	Winnipeg Jets	Kontinental Hockey League		Lokomotiv Yaroslavl	Russian		
Vadim Khlopotov	Vadim Anatolevich Khlopotov	Nizhny Tagil, Russia	2012		Undrafted			Supreme Hockey League		Saryarka Karaganda	Russian		
Vladislav Kartayev	Vladislav Dimitrievich Kartaev	Chelyabinsk, Russia	2011					Kontinental Hockey League	&lt;!--Senior IIHF caps--&gt;	Free agent	Russian		
Alexander Trushkov	Alexander Alexandrovich Trushkov	Moscow, Russia	2013					Kontinental Hockey League		HC Lada Togliatti	Russian		
Igor Shesterkin	Igor Olegovich Shestyorkin	Moscow, Russia	2014		118th overall	2014	New York Rangers	National Hockey League	RUS	New York Rangers	Russian		
Alexei Grishin (ice hockey)	Alexei Igorevich Grishin	, Moscow Oblast	2006					Supreme Hockey League		Yuzhny Ural Orsk	Russian		
Andrei Yermakov	Andrei Grigorevich Yermakov	Moscow, Russia	2013					Supreme Hockey League		Yuzhny Ural Orsk	Russian		
Vsevolod Sorokin	Vsevolod Sorokin	Moscow, Russia	2013		Undrafted			Tipos Extraliga		MHk 32 Liptovský Mikuláš	Russian		
Alexander Osipenko (athlete)	Alexander Osipenko	Moscow, Russia	2005		Undrafted			Kontinental Hockey League		HC Spartak Moscow	Russian		
Denis Ignashin	Denis Ignashin	Cherepovets, Russia	2010		Undrafted			Supreme Hockey League		Kazzinc-Torpedo	Russian		
Fredrik Lystad Jacobsen	Fredrik Lystad Jacobsen	Asker, Norway	2010					GET-ligaen	NOR	Frisk Asker Ishockey	Norwegian		
Vladimir Peshekhonov	Vladimir Peshekhonov	Moscow, Russia	2013					Supreme Hockey League		Torpedo Ust-Kamenogorsk	Russian		
Ilya Lyubushkin	Ilya Nikolaevich Lyubushkin	Moscow, Russia	2012		Undrafted			National Hockey League		Dallas Stars	Russian		
Pavel Koledov	Pavel Vyacheslavovich Koledov	Novosibirsk, Russia	2012					Kontinental Hockey League		Admiral Vladivostok			
Vitaly Zotov	Vitaly Olegovich Zotov	Saint Petersburg, Russia	2011		Undrafted			Supreme Hockey League		Rubin Tyumen	Russian		
Alexander Mokshantsev (ice hockey, born 1995)	Aleksander Aleksandrovich Mokshantsev	Penza, Russia	2013		Undrafted			Polska Hokej Liga		STS Sanok	Russian		
Alexei Kruchinin	Alexei Dmitrievich Kruchinin	Penza, Russia	2010					Kontinental Hockey League		Torpedo Nizhny Novgorod	Russian		
Danil Romantsev	Danil Nikolaevich Romantsev	Penza, Russia	2011					Kontinental Hockey League		Avtomobilist Yekaterinburg	Russian		
Dmitry Maltsev	Dmitry Olegovich Maltsev	Omsk, Russia	2011					Supreme Hockey League		Metallurg Novokuznetsk	Russian		
Ilya Korenev	Ilya Olegovich Korenev	Khabarovsk, Russia	2013		Undrafted			Kontinental Hockey League		Lokomotiv Yaroslavl	Russian		
Martin Tůma	Martin Tůma	, Most (city)	2005		162nd overall	2003	Florida Panthers				Czech		
Darrel Anholt	Darrel Anholt	, Alberta	1982	1985	54th overall	1981	Chicago Black Hawks						
Steve Brûlé	Steve Brûlé	Montreal, Quebec, Canada	1995	2013	143rd overall	1993	New Jersey Devils				Canadian		
Rob Whistle	Robert Douglas Whistle	Thunder Bay, Canada	1985	1989	''Undrafted''						Canadian		
Bob Taylor (ice hockey)	Robert Wallace Taylor	, Massachusetts	1945	1958									
Paul Szczechura	Paul Szczechura	Brantford, Canada	2007		Undrafted					GKS Tychy	Canadian		
Joey Crabb	Joseph Michael Crabb	, Alaska	2006	2016	226th overall	2002	New York Rangers		USA				
Ebba Berglund	Ebba Sara Amanda Berglund	, Örnsköldsvik Municipality	2013					Swedish Women's Hockey League	SWE	Modo Hockey (women)	Swedish		f
Kent Hughes (ice hockey)	Kent Hughes	Montreal, Canada									Canadian		
Filip Pešán	Filip Pešán												
Blake Christensen	Blake Christensen	Coral Springs, USA	2020				}}	ECHL		Kalamazoo Wings	American		
Frank Marotte	Francis Marotte	Longueuil, Canada	2020	2023	Undrafted						Canadian		
Killian Mottet	Killian Mottet	Evionnaz, Switzerland	2009					National League (ice hockey)	SUI	HC Fribourg-Gottéron	Swiss		
Yanni Kaldis	Yanni Kaldis	, Quebec	2020		Undrafted		}}	Kontinental Hockey League		Severstal Cherepovets	Canadian		
Paul Ranheim	Paul Stephen Ranheim	St. Louis, United States	1988	2003	38th overall	1984	Calgary Flames		USA		American		
Dave Poulin	David James Poulin	Timmins, Canada	1982	1995	Undrafted						Canadian		
Jack Skille	Jack Skille	Madison, Wisconsin, U.S.	2007	2021	7th overall	2005	Chicago Blackhawks		USA		American		
Steve Bernier	Steve Bernier	Quebec City, Quebec, Canada	2005	2020	16th overall	2003	San Jose Sharks	&lt;!--American Hockey League			Canadian		
Mike Murray (ice hockey)	Mike Murray	, Ontario		2003	104th overall	1984	New York Islanders				Canadian		
Troy Murray	Troy Norman Murray	Calgary, Canada	1982	1997	57th overall	1980	Chicago Blackhawks		CAN		Canadian		
Tim Cheveldae	Timothy M. Cheveldae	, Saskatchewan	1988	1997	64th overall	1986	Detroit Red Wings	National Hockey League			Winnipeg Jets		
Johnny Wilson (ice hockey)	John Edward Wilson	Kincardine, Ontario, Canada	1947	1962									
Jonas Höglund	Jonas Kent Lennart Höglund	Karlstad, Sweden	1988	2010	222nd overall	1992	Calgary Flames		SWE		Swedish		
Nikos Tselios	Nikos Tselios	Glen Ellyn, U.S.	1996	2007	22nd overall	1997	Carolina Hurricanes		&lt;!--Senior caps only--&gt;		Greek-American		
Nicklas Bäckström	Nicklas Bäckström	Valbo, Sweden	2004		4th overall	2006	Washington Capitals	Swedish Hockey League	SWE	Brynäs IF	Swedish		
Ralph Keller	Raphael J. Keller	, Saskatchewan	1954	1974									
Al LeBrun	Albert Ivan LeBrun	Timmins, Canada	1960	1974							Canadian		
Larry Molyneaux	Lawrence Samuel Molyneaux	, Ontario	1932	1941									
Vic Myles	Victor Robert William Myles	, Saskatchewan	1933	1951									
Terry Kleisinger	Terry Kleisinger	Regina, Saskatchewan, Canada	1985	1987	''Undrafted''						Canadian		
Dave Tataryn	David Nathan Tataryn	, Greater Sudbury	1975	1984	104th overall	1970	St. Louis Blues				Canadian		
John Polich	John Paul Polich	, Minnesota	1939	1948									
Johan Lindbom	Johan Stig Mikael Lindbom	Alvesta, Sweden	1994	2001	134th overall	1997	New York Rangers		SWE				
Jan Mertzig	Jan Mertzig	Huddinge, Sweden	1995	2003	235th overall	1998	New York Rangers				Swedish		
Peter Wallin	Rolf Peter Wallin	Stockholm, Sweden	1974	1991	''Undrafted''				Sweden		Swedish		
Vitali Yeremeyev	Vitali Mikhailovich Yeremeyev	, Oskemen	1992	2014	209th overall	1994	New York Rangers		Kazakhstan		Kazakhstani		
Jean-Paul Denis	Joseph Gabriel Jean-Paul &quot;Johnny&quot; Denis	Montreal, Canada	1944	1962									
Jack Mann (ice hockey)	John Edward Kingsley Mann	Winnipeg, Canada	1939	1948									
Frank Peters (ice hockey)	Hubert John Francis Peters	, New York	1927	1934									
Melvin Read	Melvin Dean	Montreal, Canada	1941	1952									
Rob Palmer (ice hockey, born 1952)	Robert Hazen Palmer	Detroit, United States	1973	1977	93rd overall	1972	Chicago Blackhawks				American		
Patrick Neaton	Patrick Thomas Neaton	Redford, Michigan, Michigan	1993	2002	145th overall	1990	Pittsburgh Penguins		USA		American		
Benoît Dusablon	Benoît Dusablon	Sainte-Anne-de-la-Pérade, Quebec, Canada	2000	2004	''Undrafted''						Canadian		
Herb Foster	Herbert Stanley Foster	, Ontario	1932	1950									
Gordie Haworth	Gordon Joseph Haworth	Drummondville, Canada	1949	1970									
Greg Holst	Gregory Holst	Montreal, Canada	1974	1993	139th overall	1974	New York Rangers		Austria		Canadian		
Ron Hutchinson (ice hockey)	Ronald Wayne Hutchinson	Flin Flon, Canada	1957	1970									
Bing Juckes	Winston Bryan	, Manitoba	1945	1955									
Bob Kirkpatrick	Robert Drynan Kirkpatrick	, Saskatchewan	1934	1949									
Dick Kotanen	Eino Richard Erwin Kotanen	, Ontario	1945	1958									
Aggie Kukulowicz	Adolph Frank	Winnipeg, Canada	1952	1965									
Alan Kuntz	Alan Robert Kuntz	Toronto, Canada	1939	1956									
Bill Kyle	William Miller Kyle	, Saskatchewan	1939	1961									
Michel Labadie	Michel Joseph Gilles Labadie	, Quebec	1953	1969									
Phil Latreille	Jean Philippe Latreille	Montreal, Quebec, Canada	1958	1963									
Joe Levandoski	Joseph Thomas Levandoski	, Ontario	1941	1959									
Norman Lowe	Norman Ewart &quot;Odie&quot; Lowe	Winnipeg, Canada	1947	1961									
Ian MacIntosh	Ian Ronald &quot;Mickey&quot; MacIntosh	, Manitoba	1945	1957									
Henry Maracle	Henry Elmer &quot;Buddy&quot; Maracle	Ayr, Ontario, Canada	1926	1939									
Ray Markham	Raymond Joseph Markham	Windsor, Ontario, Canada	1978	1984	43rd overall	1978	New York Rangers				Canadian		
John McDonald (ice hockey)	John Albert McDonald	, Manitoba	1942	1950									
Sandy McGregor	Donald Alexander McGregor	Toronto, Ontario, Canada	1959	1969									
Fern Perrault	Joseph Omer Fernand Perrault	, Quebec	1946	1960									
Leo Quenneville	Colbert Leo Quenneville	Saint-Anicet, Canada	1921	1935									
Ronnie Rowe (ice hockey)	Ronald Nickolas Rowe	, Ontario	1943	1957									
George Senick	George Senick	Saskatoon, Canada	1947	1966									
Jack Stoddard	John Edward &quot;Jack&quot; Stoddard	, Ontario	1944	1962									
Neil Strain	Neil Gilbert Strain	Kenora, Canada	1946	1954									
Art Strobel	Arthur George Strobel	, Saskatchewan	1942	1959									
Wes Trainor	Thomas Weston &quot;Bucko&quot; Trainor	Charlottetown, Canada	1940	1954									
Norman Tustin	Norman Robert Tustin	, Saskatchewan	1939	1950									
Frank Waite	Francis Edward &quot;Deacon&quot; Waite	Fort Qu'Appelle, Canada	1921	1934									
Chick Webster	John Robert &quot;Chick&quot; Webster	Toronto, Canada	1940	1953									
Sherman White (ice hockey)	Sherman Beverley	Cape Tormentine, New Brunswick, Canada	1939	1964									
Wayne Hall (ice hockey)	Gary Wayne Hall	, Manitoba	1956	1972							Canadian		
Fred Hunt (ice hockey)	Frederick Tennyson Hunt	Brantford, Canada	1937	1949									
Albert Hughes (ice hockey)	Albert Hughes	Guelph, Canada	1922	1934				National Hockey League					
Lloyd Jackson (ice hockey)	Lloyd Edgar Jackson	Ottawa, Canada	1931	1942									
Jean-Paul Gladu	Antonio Jean-Paul Gladu	, Quebec	1944	1956									
Rod Graham	Rodney Douglas Graham	, Ontario	1967	1978							Canadian		
Lloyd Gronsdahl	Lloyd Gifford Gronsdahl	, Saskatchewan	1941	1951									
Walter Harnott	Walter Herbert &quot;Happy&quot; Harnott	Montreal, Canada	1931	1945									
Lionel Heinrich	Lionel Grant Heinrich	, Saskatchewan	1954	1962									
Ryan Hughes (ice hockey)	Ryan Hughes	Montreal, Canada	1993	1997	22nd overall	1990	Quebec Nordiques				Canadian		
Bill Knibbs	William Arthur Knibbs	Toronto, Canada	1962	1975									
Russ Kopak	Russell Jerald Kopak	Edmonton, Canada	1943	1950									
Bonner Larose	Charles Bonner Larose	Ottawa, Canada	1917	1928									
Frank Mario	Frank George Mario	, Saskatchewan	1941	1954									
Mark Marquess (ice hockey)	Clarence Emmett &quot;Mark&quot; Marquess	, Alberta	1945	1956									
Norm McAtee	Norman Joseph McAtee	, Ontario	1941	1954									
Scott McLellan	Daniel Scott McLellan	Toronto, Canada	1982	1985	77th overall	1981	Boston Bruins				Canadian		
Kraig Nienhuis	Kraig Nienhuis	Sarnia, Canada	1985	2001	''Undrafted''				CAN		Canadian		
Gerry Ouellette	Gerald Adrian Ouellette	Grand Falls, New Brunswick, Canada	1959	1971									
Eddie Panagabko	Edwin Arnold &quot;Ed&quot; Panagabko	, Saskatchewan	1954	1968									
Ray Podloski	Raymond Sidney Podloski	Edmonton, Canada	1986	2005	40th overall	1984	Boston Bruins		CAN				
George Ranieri	George Dominic Ranieri	Toronto, Canada	1955	1965							Canadian		
Al Rittinger	Alan Wilber Rittinger	, Saskatchewan	1943	1952									
Gino Rozzini	Gino William Rozzini	, Quebec	1940	1959									
Bill Shill	William Roy Shill	Toronto, Canada	1942	1953					Canada				
Don Smillie	Donald William Winter Smillie	Toronto, Canada	1933	1936									
Max Sutherland (ice hockey)	Reginald McGregor &quot;Max&quot; Sutherland	, Saskatchewan	1923	1939									
Gordon Turlick	Gordon A. &quot;Gord&quot; Turlick	, Sparwood	1960	1974							Canadian		
Gord Wilson	Gordon Allan &quot;Junior&quot; Wilson	Port Arthur, Ontario, Canada	1952	1960									
Wally Wilson (ice hockey)	Wallace Lloyd Wilson	, Nova Scotia	1941	1948									
Guy Labrie	Joseph Marie Louis Guy Labrie	Saint-Charles-de-Bellechasse, Quebec, Canada	1939	1954									
Marty Lauder	William Thomas Martin Lauder	, Ontario	1927	1933									
Ray Maluta	Raymond William Maluta	Flin Flon, Canada	1974	1992	126th overall	1974	Boston Bruins				Canadian		
Ed Reigle	Edmund Reigle	Winnipeg, Canada	1944	1957									
Joe Schmidt (ice hockey)	Joseph Frank &quot;Otto&quot; Schmidt	, Saskatchewan	1943	1952				National Hockey League					
Bruce Shoebottom	Bruce Shoebottom	Windsor, Ontario, Canada	1985		47th overall	1983	Los Angeles Kings				Canadian		
John Wilkinson (ice hockey)	John Hamilton Wilkinson	Ottawa, Canada	1931	1944									
Don Sylvestri	Don Sylvestri	, Greater Sudbury	1984	1985	182nd overall	1981	Boston Bruins				Canadian		
Jim Pettie	James &quot;Seaweed&quot; Pettie	Toronto, Canada	1973	1981	142nd overall	1973	Boston Bruins						
Ray Barry (ice hockey)	William Raymond Barry	, Massachusetts	1948	1957									
Tom Brennan (ice hockey)	Thomas Ernest Brennan	Philadelphia, U.S.	1942	1953									
Marquis Mathieu	Marquis Mathieu	, Connecticut	1993	2009	Undrafted						American		
Evgeny Shaldybin	Yevgeni Sergeevich Shaldybin	Novosibirsk, Soviet Union	1991	2014	151st overall	1995	Boston Bruins				Russian		
Jack Pratt (ice hockey)	John &quot;Jack&quot; Pratt	Edinburgh, Scotland	1927	1940									
Tom Songin	Thomas Songin	Norwood, Massachusetts, U.S.A.	1978	1981	''Undrafted''						American		
James Glenwright Unger	James Glenwright Unger	, OH	2007	2008									
Don Gordon (ice hockey)	Don Gordon	Timmins, Canada	1969	1975							Canadian		
Dan Lodboa	Daniel Stephen Lodboa	Thorold, Ontario, Canada	1970	1974									
Butch Barber	Robert Ian &quot;Butch&quot; Barber	Fairview, Alberta, Canada	1964	1976									
Bernie Ruelle	Bernard Edward Ruelle	Houghton, Michigan, U.S.	1939	1947									
